casualty_imd_quintile,driver_imd_quintile,crash_quintile,ranked_dist,demog_dist,crash_count,ranked_occurrences,crash_count_dist,crash_prop_dist
1 most deprived,1 most deprived,1 most deprived,1,0,4326,1,9847,0.2013866164921466
1 most deprived,1 most deprived,2 more deprived,2,1.4142135623730951,1277,6,16365,0.3346899541884817
1 most deprived,1 most deprived,3 mid deprived,4,2.8284271247461903,408,6,6916,0.14144306282722513
1 most deprived,1 most deprived,4 less deprived,6,4.242640687119285,175,3,3182,0.06507689790575916
1 most deprived,1 most deprived,5 least deprived,9,5.656854249492381,59,3,934,0.019101767015706806
1 most deprived,2 more deprived,1 most deprived,2,1.4142135623730951,1830,3,16365,0.3346899541884817
1 most deprived,2 more deprived,2 more deprived,2,1.4142135623730951,1117,6,16365,0.3346899541884817
1 most deprived,2 more deprived,3 mid deprived,3,2.449489742783178,378,6,5503,0.11254499345549739
1 most deprived,2 more deprived,4 less deprived,5,3.7416573867739413,191,6,4354,0.0890461387434555
1 most deprived,2 more deprived,5 least deprived,8,5.0990195135927845,61,4,1260,0.025768979057591623
1 most deprived,3 mid deprived,1 most deprived,4,2.8284271247461903,1131,3,6916,0.14144306282722513
1 most deprived,3 mid deprived,2 more deprived,3,2.449489742783178,519,4,5503,0.11254499345549739
1 most deprived,3 mid deprived,3 mid deprived,4,2.8284271247461903,325,6,6916,0.14144306282722513
1 most deprived,3 mid deprived,4 less deprived,5,3.7416573867739413,170,6,4354,0.0890461387434555
1 most deprived,3 mid deprived,5 least deprived,7,4.898979485566356,59,2,535,0.010941590314136126
1 most deprived,4 less deprived,1 most deprived,6,4.242640687119285,849,3,3182,0.06507689790575916
1 most deprived,4 less deprived,2 more deprived,5,3.7416573867739413,394,6,4354,0.0890461387434555
1 most deprived,4 less deprived,3 mid deprived,5,3.7416573867739413,218,4,4354,0.0890461387434555
1 most deprived,4 less deprived,4 less deprived,6,4.242640687119285,195,3,3182,0.06507689790575916
1 most deprived,4 less deprived,5 least deprived,8,5.0990195135927845,67,4,1260,0.025768979057591623
1 most deprived,5 least deprived,1 most deprived,9,5.656854249492381,456,3,934,0.019101767015706806
1 most deprived,5 least deprived,2 more deprived,8,5.0990195135927845,227,2,1260,0.025768979057591623
1 most deprived,5 least deprived,3 mid deprived,7,4.898979485566356,130,2,535,0.010941590314136126
1 most deprived,5 least deprived,4 less deprived,8,5.0990195135927845,110,2,1260,0.025768979057591623
1 most deprived,5 least deprived,5 least deprived,9,5.656854249492381,92,3,934,0.019101767015706806
2 more deprived,1 most deprived,1 most deprived,2,1.4142135623730951,1053,3,16365,0.3346899541884817
2 more deprived,1 most deprived,2 more deprived,2,1.4142135623730951,1255,6,16365,0.3346899541884817
2 more deprived,1 most deprived,3 mid deprived,3,2.449489742783178,451,6,5503,0.11254499345549739
2 more deprived,1 most deprived,4 less deprived,5,3.7416573867739413,190,6,4354,0.0890461387434555
